epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,776.704,1.29015,1.0547,1.26096,0.97573,0.93506,0.98469,0.54971,1.48441,0.99044,1.43612,0.00066087,0.00066087,0.00066087
2,1578.4,1.44598,1.06888,1.37641,0.92877,0.93506,0.98205,0.56865,1.42618,0.96631,1.36145,0.00129537,0.00129537,0.00129537
3,2385.14,1.41256,0.96952,1.3336,0.90161,0.92233,0.96328,0.52128,1.48728,0.96526,1.37703,0.00180568,0.00180568,0.00180568
4,3083.09,1.39653,0.86897,1.3406,0.97423,0.98178,0.99113,0.58807,1.40306,0.79985,1.38585,0.00159191,0.00159191,0.00159191
5,3788.82,1.38486,0.8031,1.34121,0.97478,0.97727,0.99346,0.57354,1.39844,0.75377,1.37902,0.00131593,0.00131593,0.00131593
6,4385.56,1.3429,0.70868,1.31772,0.95233,0.98701,0.98991,0.60227,1.36649,0.70448,1.3311,0.00101,0.00101,0.00101
7,4905.59,1.33357,0.67552,1.3065,0.98148,0.98701,0.99438,0.61696,1.32887,0.62837,1.33386,0.000704073,0.000704073,0.000704073
8,5425.88,1.30394,0.64276,1.27301,0.97989,0.99026,0.99307,0.61213,1.35545,0.59147,1.30137,0.000428093,0.000428093,0.000428093
9,5945.5,1.27472,0.60271,1.25935,0.9774,0.99351,0.99256,0.64213,1.32756,0.57148,1.29629,0.000209073,0.000209073,0.000209073
10,6466.07,1.27311,0.59158,1.25716,0.98069,0.98959,0.99401,0.64274,1.31504,0.56012,1.29297,6.8454e-05,6.8454e-05,6.8454e-05
