epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1499.28,1.71113,2.22759,1.50615,0.88291,0.93607,0.93515,0.47061,1.64045,1.76499,1.56654,0.00066087,0.00066087,0.00066087
2,2948.38,1.51996,1.00571,1.37933,0.8179,0.8,0.86444,0.46172,1.5447,1.05878,1.51773,0.00131945,0.00131945,0.00131945
3,4339.12,1.48677,0.95856,1.36672,0.84837,0.88751,0.91855,0.48079,1.58054,1.03878,1.59597,0.00194589,0.00194589,0.00194589
4,5731.29,1.47594,0.91534,1.38556,0.88598,0.93781,0.94882,0.47956,1.57665,0.85444,1.58711,0.0018921,0.0018921,0.0018921
5,7134.89,1.4654,0.86957,1.36323,0.918,0.96507,0.97145,0.55521,1.46522,0.78132,1.46684,0.00181093,0.00181093,0.00181093
6,8574.99,1.43994,0.83984,1.33076,0.91456,0.97586,0.96986,0.54692,1.48588,0.76503,1.44779,0.00171004,0.00171004,0.00171004
7,9993.75,1.41643,0.83534,1.33022,0.94228,0.98966,0.97552,0.56448,1.45047,0.69809,1.44531,0.00159191,0.00159191,0.00159191
8,11399.6,1.37253,0.75698,1.29761,0.92799,0.97762,0.9813,0.60002,1.39104,0.68269,1.38519,0.00145945,0.00145945,0.00145945
9,12783.5,1.37147,0.73723,1.28163,0.93463,0.9931,0.98338,0.59137,1.38922,0.65487,1.37027,0.00131593,0.00131593,0.00131593
10,14165.8,1.35546,0.70692,1.27968,0.95067,0.98966,0.97199,0.57664,1.36152,0.67619,1.39496,0.00116487,0.00116487,0.00116487
11,15542.8,1.36143,0.66798,1.36181,0.957,0.9931,0.99019,0.60839,1.35554,0.62845,1.35966,0.00101,0.00101,0.00101
12,16921.1,1.33022,0.62952,1.34616,0.94632,0.98966,0.98843,0.6129,1.35844,0.61748,1.39343,0.00085513,0.00085513,0.00085513
13,18306.8,1.3221,0.61132,1.32957,0.95483,0.9931,0.98754,0.60916,1.36442,0.57674,1.40218,0.000704073,0.000704073,0.000704073
14,19703.8,1.31026,0.59242,1.34859,0.95464,0.99655,0.99029,0.61682,1.35895,0.56874,1.39496,0.000560549,0.000560549,0.000560549
15,21098.8,1.2807,0.56199,1.30486,0.96259,0.99655,0.99148,0.62383,1.32315,0.55542,1.37527,0.000428093,0.000428093,0.000428093
16,22481.2,1.26302,0.55408,1.29495,0.96444,0.98276,0.98887,0.62293,1.35994,0.54517,1.36296,0.000309964,0.000309964,0.000309964
17,23880.7,1.26493,0.5423,1.31103,0.96891,0.98966,0.99275,0.63097,1.33666,0.53563,1.35779,0.000209073,0.000209073,0.000209073
18,25289.3,1.26077,0.53507,1.30038,0.96967,0.99235,0.99125,0.63874,1.32409,0.51745,1.35863,0.000127904,0.000127904,0.000127904
19,26684.1,1.24235,0.5265,1.28999,0.96324,0.99384,0.9911,0.64336,1.322,0.50835,1.34277,6.8454e-05,6.8454e-05,6.8454e-05
20,28031,1.24231,0.51337,1.2871,0.96323,0.99361,0.99127,0.64428,1.31404,0.50471,1.34362,3.21885e-05,3.21885e-05,3.21885e-05
